item,question,answer,who_confirmed,date
1,SQL Server or Access version and edition; Windows Server version; both checked against end-of-support dates,,,
2,Every database on the instance and whether each is still used,,,
3,Row count and size on disk of every table in the production database,,,
4,Every stored procedure trigger view and scheduled job with one line on what it does,,,
5,Every front end (Access forms and reports; Windows or web app; Excel links; Power BI; anything with a connection string),,,
6,Every integration (label printers; Xero or MYOB sync; ODBC links; email jobs; supplier portal),,,
7,Who uses it; how many on a busy day; the two people who know it best,,,
8,Where files live: blobs inside the database or a share it points at,,,
9,A tested backup restored somewhere else,,,
10,Biggest table over about 20000 rows now or within three years,,,
11,Money on the records,,,
12,More than three people editing on the same day,,,
13,Three or more tables that genuinely relate,,,
14,Need to prove who changed what and when,,,
15,Home decided: SharePoint lists or Dataverse,,,
16,Licence line per month and per year against real headcount,,,
17,Not migrating considered and ruled out (or chosen),,,
